"Afghanistan",33.93911,67.709953
"Åland Islands",60.3385485,20.2712585
"Albania",41.153332,20.168331
"Algeria",28.033886,1.659626
"American Samoa",-14.305941,-170.6962002
"Andorra",42.506285,1.521801
"Angola",-11.202692,17.873887
"Anguilla",18.220554,-63.06861499999999
"Antarctica",-82.86275189999999,-135.0
"Antigua and Barbuda",17.060816,-61.796428
"Argentina",-38.416097,-63.61667199999999
"Armenia",40.069099,45.038189
"Aruba",12.52111,-69.968338
"Australia",-25.274398,133.775136
"Austria",47.516231,14.550072
"Azerbaijan",40.143105,47.576927
"Bahamas",25.03428,-77.39627999999999
"Bahrain",26.0667,50.5577
"Bangladesh",23.684994,90.356331
"Barbados",13.193887,-59.543198
"Belarus",53.709807,27.953389
"Belgium",50.503887,4.469936
"Belize",17.189877,-88.49765
"Benin",9.30769,2.315834
"Bermuda",32.3078,-64.7505
"Bhutan",27.514162,90.433601
"Bolivia",-16.290154,-63.58865299999999
"Bonaire",12.1783611,-68.2385339
"Bosnia",-36.7896946,-73.11343959999999
"Bosnia and Herzegovina",43.915886,17.679076
"Botswana",-22.328474,24.684866
"Bouvet Island",-54.423199,3.413194
"Brazil",-14.235004,-51.92528
"Britain",55.378051,-3.435973
"British Indian Ocean Territory",-7.334755599999999,72.4242325
"Brunei Darussalam",4.535277,114.727669
"Bulgaria",42.733883,25.48583
"Burkina Faso",12.238333,-1.561593
"Burundi",-3.373056,29.918886
"Cambodia",12.565679,104.990963
"Cameroon",7.369721999999999,12.354722
"Canada",56.130366,-106.346771
"Cape Verde",15.1217288,-23.6050817
"Cayman Islands",19.3133,-81.2546
"Central African Republic",6.611110999999999,20.939444
"Chad",15.454166,18.732207
"Chile",-35.675147,-71.542969
"China",35.86166,104.195397
"Christmas Island",-10.447525,105.690449
"Cocos Islands",-12.1707796,96.84173919999999
"Cocos (Keeling) Islands",-12.1707796,96.84173919999999
"Colombia",4.570868,-74.297333
"Comoros",-11.6455,43.3333
"Congo",-0.228021,15.827659
"Cook Islands",-21.236736,-159.777671
"Costa Rica",9.748916999999999,-83.753428
"Côte d'Ivoire",7.539988999999999,-5.547079999999999
"Croatia",45.1,15.2
"Cuba",21.521757,-77.781167
"Curaçao",12.16957,-68.99002
"Cyprus",35.126413,33.429859
"Czech Republic",49.81749199999999,15.472962
"Denmark",56.26392,9.501785
"Djibouti",11.825138,42.590275
"Dominica",15.414999,-61.37097600000001
"Dominican Republic",18.735693,-70.162651
"Ecuador",-1.831239,-78.18340599999999
"Egypt",26.820553,30.802498
"El Salvador",13.794185,-88.89653
"England",52.3555177,-1.1743197
"Equatorial Guinea",1.650801,10.267895
"Eritrea",15.179384,39.782334
"Estonia",58.595272,25.013607
"Ethiopia",9.145000000000001,40.489673
"Faroe Islands",61.89263500000001,-6.911805999999999
"Fiji",-17.713371,178.065032
"Finland",61.92410999999999,25.748151
"France",46.227638,2.213749
"French Guiana",3.933889,-53.125782
"French Polynesia",-17.679742,-149.406843
"French Southern Territories",-49.280366,69.348557
"Gabon",-0.803689,11.609444
"Gambia",13.443182,-15.310139
"Georgia",32.1574351,-82.90712300000001
"Germany",51.165691,10.451526
"Ghana",7.946527,-1.023194
"Gibraltar",36.140751,-5.353585
